Account_Code,Account_Name,Account_Type,Category,Feb_2025_Actual,Feb_2026_Actual,Variance_Amount,Variance_Percent,Status
4000,Product Sales Revenue,Revenue,Operating Revenue,27456234.50,29865684.74,2409450.24,8.8%,Favorable
4010,Service Revenue,Revenue,Operating Revenue,5823450.25,6339650.50,516200.25,8.9%,Favorable
4020,Subscription Revenue,Revenue,Operating Revenue,3145678.90,3498642.58,352963.68,11.2%,Favorable
4100,Interest Income,Revenue,Non-Operating Revenue,534567.80,616333.56,81765.76,15.3%,Favorable
4200,FX Gain,Revenue,Non-Operating Revenue,198765.45,225865.04,27099.59,13.6%,Favorable
TOTAL_REVENUE,Total Revenue,Revenue,Total,37158696.90,40546176.42,3387479.52,9.1%,Favorable
5000,Salaries and Wages,Expense,Personnel,1023456.78,1110732.19,87275.41,8.5%,Unfavorable
5010,Employee Benefits,Expense,Personnel,945678.90,1019737.24,74058.34,7.8%,Unfavorable
5020,Contractor Fees,Expense,Personnel,856789.12,924312.86,67523.74,7.9%,Unfavorable
5100,Office Rent,Expense,Facilities,823456.78,868729.19,45272.41,5.5%,Unfavorable
5110,Utilities,Expense,Facilities,867890.12,914299.66,46409.54,5.3%,Unfavorable
5120,Office Supplies,Expense,Facilities,978901.23,1030030.90,51129.67,5.2%,Unfavorable
5200,Software Licenses,Expense,IT,1045678.90,1107364.55,61685.65,5.9%,Unfavorable
5210,Cloud Services,Expense,IT,1289012.34,1354642.51,65630.17,5.1%,Unfavorable
5220,IT Support,Expense,IT,912345.67,958460.94,46115.27,5.1%,Unfavorable
5300,Professional Services,Expense,External,923456.78,958056.17,34599.39,3.7%,Unfavorable
5310,Legal Fees,Expense,External,1298765.43,1371577.63,72812.20,5.6%,Unfavorable
5320,Audit Fees,Expense,External,1267890.12,1340571.27,72681.15,5.7%,Unfavorable
5400,Travel,Expense,T&E,978901.23,1021794.25,42893.02,4.4%,Unfavorable
5410,Accommodation,Expense,T&E,1067890.12,1122559.57,54669.45,5.1%,Unfavorable
5420,Meals and Entertainment,Expense,T&E,1156789.01,1221692.84,64903.83,5.6%,Unfavorable
5500,Marketing,Expense,Sales,1323456.78,1391033.95,67577.17,5.1%,Unfavorable
5510,Advertising,Expense,Sales,1178901.23,1237476.07,58574.84,5.0%,Unfavorable
5520,Events,Expense,Sales,1045678.90,1098494.59,52815.69,5.1%,Unfavorable
5600,Telecommunications,Expense,Operations,1134567.89,1188371.93,53804.04,4.7%,Unfavorable
5610,Postage and Courier,Expense,Operations,889012.34,924546.02,35533.68,4.0%,Unfavorable
5620,Insurance,Expense,Operations,1245678.90,1310206.50,64527.60,5.2%,Unfavorable
5700,Training,Expense,Development,1012345.67,1060256.02,47910.35,4.7%,Unfavorable
5710,Recruitment,Expense,Development,1245678.90,1310481.05,64802.15,5.2%,Unfavorable
5800,Depreciation,Expense,Non-Cash,1267890.12,1330907.62,63017.50,5.0%,Unfavorable
5810,Amortization,Expense,Non-Cash,845678.90,884697.36,39018.46,4.6%,Unfavorable
5900,Bank Charges,Expense,Finance,1223456.78,1285755.28,62298.50,5.1%,Unfavorable
5910,Interest Expense,Expense,Finance,923456.78,966892.39,43435.61,4.7%,Unfavorable
5920,FX Loss,Expense,Finance,1101234.56,1157387.93,56153.37,5.1%,Unfavorable
TOTAL_EXPENSES,Total Expenses,Expense,Total,29872901.27,31471068.48,1598167.21,5.4%,Unfavorable
NET_INCOME,Net Income,Net Income,Total,7285795.63,9075107.94,1789312.31,24.6%,Favorable
PROFIT_MARGIN,Profit Margin,Ratio,Total,19.6%,22.4%,2.8%,14.3%,Favorable
EBITDA,EBITDA,Metric,Total,9399364.65,11290712.92,1891348.27,20.1%,Favorable
EBITDA_MARGIN,EBITDA Margin,Ratio,Total,25.3%,27.8%,2.5%,9.9%,Favorable