JE_Number,JE_Date,Entity,GL_Account_Code,Account_Name,Debit_AUD,Credit_AUD,Description,Prepayment_ID,Related_GL_Txn_ID,Prepared_By,Approved_By,Status
PREAMORT-001,2026-04-31,AUS01,5620,Insurance Expense,20000.00,0.00,Amortize D&O insurance - Apr 2026,PRE-001,TXN000001,AI_Agent,Auto_Approved,Posted
PREAMORT-001,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,20000.00,Amortize D&O insurance - Apr 2026,PRE-001,,AI_Agent,Auto_Approved,Posted
PREAMORT-002,2026-04-31,AUS01,5100,Office Rent,185000.00,0.00,Amortize office rent - Apr 2026,PRE-002,TXN000016,AI_Agent,Auto_Approved,Posted
PREAMORT-002,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,185000.00,Amortize office rent - Apr 2026,PRE-002,,AI_Agent,Auto_Approved,Posted
PREAMORT-003,2026-04-31,AUS01,5200,Software Licenses,26000.00,0.00,Amortize Office 365 - Apr 2026,PRE-003,TXN000001,AI_Agent,Auto_Approved,Posted
PREAMORT-003,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,26000.00,Amortize Office 365 - Apr 2026,PRE-003,,AI_Agent,Auto_Approved,Posted
PREAMORT-004,2026-04-31,AUS01,5510,Advertising,50000.00,0.00,Amortize Google Ads credit - Apr 2026,PRE-004,TXN000026,AI_Agent,Auto_Approved,Posted
PREAMORT-004,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,50000.00,Amortize Google Ads credit - Apr 2026,PRE-004,,AI_Agent,Auto_Approved,Posted
PREAMORT-005,2026-04-31,AUS01,5120,Office Supplies,15000.00,0.00,Amortize building maintenance - Apr 2026,PRE-005,TXN000019,AI_Agent,Auto_Approved,Posted
PREAMORT-005,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,15000.00,Amortize building maintenance - Apr 2026,PRE-005,,AI_Agent,Auto_Approved,Posted
PREAMORT-006,2026-04-31,AUS01,5300,Professional Services,75000.00,0.00,Amortize digital transformation - Apr 2026,PRE-006,TXN000028,AI_Agent,Auto_Approved,Posted
PREAMORT-006,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,75000.00,Amortize digital transformation - Apr 2026,PRE-006,,AI_Agent,Auto_Approved,Posted
PREAMORT-007,2026-04-31,AUS01,5700,Training,7000.00,0.00,Amortize LinkedIn Learning - Apr 2026,PRE-007,TXN000011,AI_Agent,Auto_Approved,Posted
PREAMORT-007,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,7000.00,Amortize LinkedIn Learning - Apr 2026,PRE-007,,AI_Agent,Auto_Approved,Posted
PREAMORT-008,2026-04-31,AUS01,5200,Software Licenses,8000.00,0.00,Amortize Adobe Creative Cloud - Apr 2026,PRE-008,TXN000001,AI_Agent,Auto_Approved,Posted
PREAMORT-008,2026-04-31,AUS01,1300,Prepaid Expenses,0.00,8000.00,Amortize Adobe Creative Cloud - Apr 2026,PRE-008,,AI_Agent,Auto_Approved,Posted